test,type,epsilon,sigma^min,sigma^low,sigma^up,sigma^max,UB,LB,gap(%),#Ebs,BBn,CPU_total,CPU_root,CPU_pricing
I3_3,stochastic,0.5,0,30,80,80,11766.6,11754.7,0.1,11,1968,37976.7,15582.8,37662.1
I3_4,worst-case,0,0,20,80,80,11732.2,11727.2,0.04,11,298,363.7,135.1,271.2
I3_4,optimistic,0,0,20,80,80,11616,11616,0,11,138,129.2,90.5,108.8
I3_4,stochastic,0.001,0,20,80,80,11674.8,11670.7,0.04,11,317,3049.2,1424.5,2948.3
I3_4,stochastic,0.005,0,20,80,80,11670.6,11663.3,0.06,11,303,2875,1634.3,2828.6
I3_4,stochastic,0.01,0,20,80,80,11662.8,11659.3,0.03,11,256,3669.3,2290.4,3603.7
I3_4,stochastic,0.05,0,20,80,80,11657.4,11649.6,0.07,11,2213,8985.3,1550.3,8621.6
I3_4,stochastic,0.1,0,20,80,80,11658,11646.7,0.1,11,201,636,420.7,604.8
I3_4,stochastic,0.15,0,20,80,80,11658.2,11646.7,0.1,11,708,979.3,408.3,885.3
I3_4,stochastic,0.2,0,20,80,80,11661.2,11646.7,0.12,11,254,735.5,448.6,697.7
I3_4,stochastic,0.25,0,20,80,80,11658,11646.7,0.1,11,261,837.3,612.8,803.7
I3_4,stochastic,0.3,0,20,80,80,11661.4,11646.7,0.13,11,511,829.4,412,767.9
I3_4,stochastic,0.4,0,20,80,80,11661.2,11646.7,0.12,11,443,708.1,417.1,666.9
I3_4,stochastic,0.5,0,20,80,80,11658,11646.7,0.1,11,167,623.4,425.2,595.6
I3_4,worst-case,0,0,30,80,80,12775,12771.3,0.03,12,612,768,119,538.7
I3_4,optimistic,0,0,30,80,80,11658.8,11643.2,0.13,11,1115,361.4,91.1,257.3
I3_4,stochastic,0.001,0,30,80,80,11756.8,11750.7,0.05,11,300,8401.4,5955.5,8363.8
I3_4,stochastic,0.005,0,30,80,80,11738.4,11729.1,0.08,11,4550,54756.2,4244.8,53507.5
I3_4,stochastic,0.01,0,30,80,80,11728,11721,0.06,11,2293,24606.7,3805.8,23959.3
I3_4,stochastic,0.05,0,30,80,80,11707.2,11702.2,0.04,11,1285,14443.2,2406.5,13998.6
I3_4,stochastic,0.1,0,30,80,80,11696.4,11695.5,0.01,11,143,3947.6,2511.4,3917.3
I3_4,stochastic,0.15,0,30,80,80,11694,11689.5,0.04,11,118,4642.2,3103.3,4625.4
I3_4,stochastic,0.2,0,30,80,80,11685.6,11684.6,0.01,11,126,3808.9,2698.7,3791.2
I3_4,stochastic,0.25,0,30,80,80,11683.6,11681.3,0.02,11,151,3884.1,2724,3862.4
I3_4,stochastic,0.3,0,30,80,80,11685.2,11678,0.06,11,118,4123.9,3074.4,4103.8
I3_4,stochastic,0.4,0,30,80,80,11683.2,11674.1,0.08,11,262,4532.1,3194.1,4508.2
I3_4,stochastic,0.5,0,30,80,80,11674.8,11670.4,0.04,11,122,4485.2,3209.9,4468.6
I3_5,worst-case,0,0,20,80,80,11791.2,11782.2,0.08,11,815,577,168.1,415.5
I3_5,optimistic,0,0,20,80,80,11598.2,11592.6,0.05,11,261,194.3,103.1,148.9
I3_5,stochastic,0.001,0,20,80,80,11684.4,11678.2,0.05,11,512,11313.4,3541,11179.9
I3_5,stochastic,0.005,0,20,80,80,11670.8,11665.7,0.04,11,191,7143.2,4571.7,7113.1
I3_5,stochastic,0.01,0,20,80,80,11666.8,11659.1,0.07,11,485,8070.5,4666.7,7997.5
I3_5,stochastic,0.05,0,20,80,80,11649,11647.3,0.01,11,280,8701.2,2707.3,8622.3
I3_5,stochastic,0.1,0,20,80,80,11647.2,11642.9,0.04,11,533,7784.8,2542.6,7655.9
I3_5,stochastic,0.15,0,20,80,80,11645.6,11641.1,0.04,11,421,3815.7,1157.7,3729
I3_5,stochastic,0.2,0,20,80,80,11643.8,11640.7,0.03,11,428,1553.8,535.9,1423.6
I3_5,stochastic,0.25,0,20,80,80,11643.8,11640.7,0.03,11,424,1544.3,462.6,1409.3
I3_5,stochastic,0.3,0,20,80,80,11643.8,11640.7,0.03,11,463,1623.4,491.3,1482
I3_5,stochastic,0.4,0,20,80,80,11643.8,11640.7,0.03,11,394,1568.9,478.6,1431.9
I3_5,stochastic,0.5,0,20,80,80,11643.8,11640.7,0.03,11,438,1548.3,425.2,1411.5
I3_5,worst-case,0,0,30,80,80,12777.2,12774.3,0.02,12,201,457.7,114.8,345.4
I3_5,optimistic,0,0,30,80,80,11643.8,11641.6,0.02,11,194,172.4,108.8,139.9
I3_5,stochastic,0.001,0,30,80,80,12724,12720.3,0.03,12,682,52689.1,39252.7,52546.4
I3_5,stochastic,0.005,0,30,80,80,11791,11773.9,0.14,11,451,21639.1,16734.2,21607.9
I3_5,stochastic,0.01,0,30,80,80,11770.8,11760.4,0.09,11,552,28383.7,18269.5,28325.8
I3_5,stochastic,0.05,0,30,80,80,11731.2,11727.6,0.03,11,388,31466.6,15341.1,31384.2
I3_5,stochastic,0.1,0,30,80,80,11729.6,11714.9,0.13,11,257,26325.3,15869.1,26300.9
I3_5,stochastic,0.15,0,30,80,80,11713.4,11706.8,0.06,11,343,42980.4,16622.8,42873.3
I3_5,stochastic,0.2,0,30,80,80,11704.8,11700.5,0.04,11,368,41573.8,18040,41503.7
I3_5,stochastic,0.25,0,30,80,80,11699.2,11696.2,0.03,11,424,35823,15848.7,35746.7
I3_5,stochastic,0.3,0,30,80,80,11696.2,11692.5,0.03,11,403,20832.8,9151.3,20738.7
I3_5,stochastic,0.4,0,30,80,80,11694.4,11686.2,0.07,11,857,21684,9747.4,21540.8
I3_5,stochastic,0.5,0,30,80,80,11687.8,11680.9,0.06,11,664,21697.8,9904.9,21574.6
